% This Database was generated from ergane (http://www.travlang.com).   Copyright (C) 1999 Horst Eyermann (Horst@freedict.de)    This program is free software /  you can redistribute it and/or modify   it under the terms of the GNU General Public License as published by   the Free Software Foundation /  either version 2 of the License, or   (at your option) any later version.    This program is distributed in the hope that it will be useful,   but WITHOUT ANY WARRANTY /  without even the implied warranty of   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the   GNU General Public License for more details. 


ADN ; DNA

Abkhasie ; Abkhazia

Abkhasien ; Abkhazian

Abyssin ; Abyssinian

Abyssinie ; Abyssinia

Achille ; Achilles

Achéron ; Acheron

Adam ; Adam

Addis‐Abeba ; Addis Ababa

Aden ; Aden

Adjarie ; Adzharia

Adonis ; Adonis

Afghan ; Afghan

Afghane ; Afghan woman

Afghanistan ; Afghanistan

Africain ; African

Afrikander ; Afrikaner /  Boer

Afrique ; Africa

Afrique du Nord ; North Africa

Afrique du Sud ; South Africa

Agamemnon ; Agamemnon

Agathe ; Agatha

Aix‐la‐Chapelle ; Aix‐la‐Chapelle

Ajax ; Ajax

Albanais ; Albanian

Albanie ; Albania

Albe ; Alva

Albert ; Albert

Alberta ; Alberta

Alep ; Aleppo

Alexandre ; Alexander

Alexandrie ; Alexandria

Alger ; Algiers

Algérie ; Algeria

Algérien ; Algerian

Allemagne ; Germany

Allemagne de l'Ouest ; West Germany

Allemand ; German

Allemande ; German /  German woman

Alost ; Alost

Alpes ; Alps

Alpes graies ; Graian Alps

Alsacien ; Alsatian

Amboine ; Amboina

Amsterdam ; Amsterdam

Américain ; American /  US citizen

Amérique ; America

Amérique centrale ; Central America

Amérique du Nord ; North America

Amérique du Sud ; South America

Amérique septentrionale ; North America

Andalou ; Andalusian

Andalouse ; Andalusian woman

Andalousie ; Andalusia

Andorre ; Andorra

Andrinople ; Adrianople

Anglais ; Englishman /  Sassenach

Angle ; Englishman /  Sassenach

Angleterre ; England

Anglo‐Saxon ; Anglo‐Saxon

Angolais ; Angolese

Anne ; Ann

Annibal ; Hannibal

Annonciation ; Annunciation /  Lady Day

Antarctique ; Antarctic

Antillais ; Antillian

Antilles ; Antilles

Antioche ; Antioch

Antoine ; Antony

Anvers ; Antwerp

Apache ; apache /  hood /  ruffian

Apennins ; Apennines

Aphrodite ; Aphrodite

Apocalypse ; Apocalypse

Apollon ; Apollo

Appalaches ; Appalachian Mountains

Aquitaine ; Aquitaine

Arabe ; Arabian woman ; Arab

Arabie ; Arabia

Arcadie ; Arcadia

Archimède ; Archimedes

Ardennes ; Ardennes

Argentin ; Argentine

Argentine ; Argentina

Argus ; Argus

Ariane ; Ariadne

Aristote ; Aristotle

Armorique ; Armorica

Arménie ; Armenia

Arménien ; Armenian

Arménienne ; Armenian woman

Arras ; Arras

Aryen ; Aryan

Asiate ; Asian woman ; Asian

Asiatique ; Asian woman ; Asian

Asie ; Asia

Asie Mineure ; Asia Minor

Asie du Sud‐Est ; Sout‐East Asia

Assomption ; Assumption

Assyrie ; Assyria

Assyrien ; Assyrian

Asturies ; Asturias

Atabasca ; Athabasca

Athénien ; Athenian

Athènes ; Athena /  Athene ; Athens

Atlas ; Atlas

Attique ; Attica

Augias ; Augeas

Auguste ; Augustus

Aurigny ; Alderney

Australie ; Australia

Australien ; Australian

Australienne ; Australian woman

Autriche ; Austria

Autrichien ; Austrian

Babel ; Babel /  Babylon

Babylone ; Babel /  Babylon

Babylonie ; Babylonia

Bacchus ; Bacchus

Balinais ; Balinese

Balkans ; Balkans

Baléares ; Balearic Islands

Bantou ; Bantu

Barbade ; Barbados

Barbe‐Bleue ; Bluebeard

Barcelone ; Barcelona

Barry ; Barry

Barthélemy ; Bartolomew

Basque ; Basque

Batave ; Batavian

Bavarois ; Bavarian

Bavière ; Bavaria

Belge ; Belgian /  Belgian woman ; Belgian

Belgique ; Belgium

Belgrade ; Belgrade

Benelux ; Benelux

Bengale ; Bengal

Benoît ; Ben /  Benedict

Berlin ; Berlin

Berlinois ; Berliner

Bermudes ; Bermudas

Berne ; Berne

Bernois ; Bernese

Bessarabie ; Bessarabia

Bethléem ; Bethlehem

Bible ; Bible

Birman ; Burmese

Birmane ; Burmese woman

Birmanie ; Burma

Boer ; Afrikaner /  Boer

Bohémien ; Bohemian

Bohême ; Bohemia

Bois‐le‐Duc ; Bois‐le‐Duc

Bolivie ; Bolivia

Bolivien ; Bolivian

Boschiman ; Bushman

Bosnie ; Bosnia

Bosnien ; Bosnian

Bosphore ; Bosporus

Bouddha ; Buddha

Brabant ; Brabant

Brabançon ; Brabantine

Bretagne ; Bretagne /  Brittany

Breton ; Breton

Britannique ; Briton

Bruges ; Bruges

Bruxelles ; Brussels

Brésil ; Brazil

Brésilien ; Brazilian

Bulgare ; Bulgar /  Bulgarian

Byzance ; Byzantium

Bédouin ; Bedouin

Bâle ; Basel /  Basle

Cachemire ; Kashmir

Calabre ; Calabria

Californie ; California

Californien ; Californian

Calvaire ; Calvary /  Golgotha

Calvin ; Calvin

Cambodge ; Cambodia

Cambodgien ; Cambodian

Cambodgienne ; Cambodian woman

Cameroun ; Cameroon

Canada ; Canada

Canadien ; Canadian

Canadienne ; Canadian woman

Cap‐des‐Caissie ; Caissie Cape

Capitole ; Capitol

Capricorne ; Capricorn

Carpates ; Carpathians /  Carpathian mountains

Carthage ; Carthage

Carthaginois ; Carthaginian

Cassandre ; Cassandra

Castillan ; Castilian

Castille ; Castile

Catalan ; Catalonian

Catalogne ; Catalonia

Caton ; Cato

Caucase ; Caucasus

Caïn ; Cain

Celte ; Celt

Cendrillon ; Cinderella

Cerbère ; Cerberus

Ceylan ; Ceylon

Ceylanais ; Ceylonese

Chaldée ; Chaldea

Chaldéen ; Chaldean

Chanaan ; Canaan

Chandeleur ; Candlemas

Charlemagne ; Charlemagne

Charybde ; Charybdis

Chenal Lost ; Lost Channel

Chili ; Chile

Chilien ; Chilean

Chine ; China

Chinois ; Chinaman /  Chinese

Christ ; Christ

Churchill ; Churchill /  Churchill River

Chutes Niagara ; Niagara Falls

Chypre ; Cyprus

Chypriote ; Cyprian woman ; Cypriot

Cicéron ; Cicero

Cléopâtre ; Cleopatra

Coblence ; Coblenz /  Koblenz

Cologne ; Cologne

Colomb ; Columbus

Colombie‐Britannique ; British Columbia

Colombie ; Colombia

Colombien ; Colombian

Columbia ; Columbia /  Columbia River

Comines ; Comine

Congo ; Congo /  Zaire ; Congo

Copenhague ; Copenhagen

Coran ; Koran

Cordoue ; Cordova

Corinthe ; Corinth

Cornouailles ; Cornwall

Corse ; Corsica ; Corsican woman ; Corsican

Corée ; Korea

Coréen ; Korean

Coréene ; Korean woman

